id,counterparty_gid,hsbc_intragroup_flag,counterparty_fcy_internal_rating,counterparty_lcy_internal_rating,incorporation_country,lgd_classification,pd_classification,entity_class,sub_class,sector,counterparty_dlgd,govt_guarantee_flag,trade_external_rating,counterparty_external_rating,avc,pra_io_mdb_3_1_flag,exposure_ccy,bond_or_loan_flag,original_maturity,residual_maturity,exposure_amount,expected_yield,counterparty_credit_quality_grade
EXP000012,CP00034,N,3.2,3.2,FR,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4645,N,,BBB+,1.25,N,SEK,B,7.28,4.58,14902404.13,0.0150,INVESTMENT_GRADE
EXP000013,CP00059,Y,3.1,4.3,FR,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4425,N,,,1.25,N,USD,L,7.45,4.28,6572528.15,0.0271,NOT_RATED
EXP000014,CP00173,N,4.1,4.1,GB,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0791,Y,,BBB-,1.0,N,EUR,L,8.06,5.31,214323006.73,0.0457,HIGH_YIELD
EXP000015,CP00179,N,4.2,4.2,SE,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4295,N,,,1.25,N,USD,L,4.12,1.44,4190497.13,0.0382,NOT_RATED
EXP000016,CP00142,N,4.2,4.2,US,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0447,Y,,BB+,1.0,N,USD,B,8.53,2.89,15812618.49,0.0260,HIGH_YIELD
EXP000017,CP00240,N,8.1,8.1,FR,LGD_PSE,PD_SOV,PSE,GENERAL,PUBLIC_SECTOR,0.0700,Y,,D,1.0,N,EUR,B,0.73,0.60,51777240.30,0.2281,HIGH_YIELD
EXP000018,CP00172,N,4.3,4.3,NL,LGD_RETAIL,PD_CORP,RETAIL,RETAIL,RETAIL,0.3549,N,,BB,1.0,N,EUR,L,6.13,4.06,554632.17,0.0598,HIGH_YIELD
EXP000019,CP00244,N,1.1,3.3,SE,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.3948,N,AA,AA,1.0,N,GBP,L,6.36,4.76,16487174.87,0.0283,INVESTMENT_GRADE
EXP000020,CP00138,N,4.3,1.2,CH,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0505,Y,BB,BB,1.0,N,EUR,B,5.71,2.26,132090864.30,0.0392,HIGH_YIELD
EXP000021,CP00103,N,8.1,8.1,DE,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4223,N,D,D,1.25,N,CHF,B,2.36,0.87,87769127.68,0.2074,HIGH_YIELD
EXP000022,CP00135,N,4.2,2.1,NL,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4666,N,,BB+,1.25,N,USD,B,6.75,0.47,29310490.30,0.0227,HIGH_YIELD
EXP000023,CP00055,N,6.2,6.2,DE,LGD_CORP,PD_CORP,CORP,PROJECT_FINANCE,INFRASTRUCTURE,0.3994,N,,CCC,1.0,N,GBP,L,7.92,7.43,837142.54,0.1162,HIGH_YIELD
EXP000024,CP00056,N,5.3,5.3,FR,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.4174,N,,,1.0,N,EUR,L,7.68,6.65,1273396.42,0.0787,NOT_RATED
EXP000025,CP00098,N,8.1,8.1,DE,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0606,Y,,D,1.0,N,EUR,L,0.97,0.60,109393450.27,0.2308,HIGH_YIELD
EXP000026,CP00005,N,4.3,4.3,US,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4258,N,BB,BB,1.25,N,EUR,B,5.81,3.34,58475005.36,0.0558,HIGH_YIELD
EXP000027,CP00186,N,3.2,3.2,US,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.3777,Y,BBB+,BBB+,1.0,N,CHF,B,3.53,2.07,14384733.91,0.0421,INVESTMENT_GRADE
EXP000028,CP00034,N,3.2,3.2,ES,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4600,N,,BBB+,1.25,N,EUR,L,4.57,4.30,31423222.96,0.0479,INVESTMENT_GRADE
EXP000029,CP00017,N,2.1,3.3,ES,LGD_CORP,PD_CORP,CORP,COMMODITIES_FINANCE,COMMODITIES,0.3992,N,,A+,1.0,N,PLN,L,3.32,1.30,9274288.97,0.0203,INVESTMENT_GRADE
EXP000030,CP00092,N,0.1,0.1,DE,LGD_MDB,PD_SOV,MDB,GENERAL,PUBLIC_SECTOR,0.0982,Y,AAA,AAA,1.0,Y,PLN,L,7.10,4.77,76457238.03,0.0399,INVESTMENT_GRADE
EXP000031,CP00019,N,1.1,1.1,CH,LGD_MDB,PD_SOV,MDB,GENERAL,PUBLIC_SECTOR,0.0717,Y,,AA,1.0,Y,SEK,B,4.22,3.20,40048901.38,0.0184,INVESTMENT_GRADE
EXP000032,CP00235,N,4.3,4.3,PL,LGD_CORP,PD_CORP,CORP,COMMERCIAL_REAL_ESTATE,REAL_ESTATE,0.3759,N,BB,BB,1.0,N,EUR,L,6.66,3.16,49413412.32,0.0410,HIGH_YIELD
EXP000033,CP00070,N,3.2,3.2,DE,LGD_MDB,PD_SOV,MDB,GENERAL,PUBLIC_SECTOR,0.1051,Y,,BBB+,1.0,Y,USD,B,5.51,1.26,69944529.35,0.0322,INVESTMENT_GRADE
EXP000034,CP00213,N,3.1,3.1,DE,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4505,N,,,1.25,N,EUR,B,7.50,6.98,71226800.63,0.0370,NOT_RATED
EXP000035,CP00118,N,4.3,4.3,NL,LGD_CORP,PD_CORP,CORP,COMMERCIAL_REAL_ESTATE,REAL_ESTATE,0.4100,N,,,1.0,N,USD,L,2.81,1.42,15317446.59,0.0576,NOT_RATED
EXP000036,CP00231,N,4.1,4.1,PL,LGD_CORP,PD_CORP,CORP,COMMODITIES_FINANCE,COMMODITIES,0.3824,N,,,1.0,N,PLN,B,4.75,2.37,42777753.69,0.0152,NOT_RATED
EXP000037,CP00231,Y,4.2,4.3,IT,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4773,N,,BB+,1.25,N,PLN,L,4.68,3.86,58128634.65,0.0515,HIGH_YIELD
EXP000038,CP00125,N,2.1,1.2,CH,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4354,N,,A+,1.25,N,EUR,L,3.29,1.50,49111344.26,0.0058,INVESTMENT_GRADE
EXP000039,CP00044,N,3.2,3.2,FR,LGD_MDB,PD_SOV,MDB,GENERAL,PUBLIC_SECTOR,0.0799,Y,BBB+,BBB+,1.0,Y,EUR,L,1.52,1.22,52379567.87,0.0227,INVESTMENT_GRADE
EXP000040,CP00237,N,3.1,3.1,PL,LGD_PSE,PD_SOV,PSE,GENERAL,PUBLIC_SECTOR,0.0880,Y,,,1.0,N,PLN,L,7.89,2.11,73178245.84,0.0300,NOT_RATED
EXP000041,CP00240,N,3.2,3.2,PL,LGD_PSE,PD_SOV,PSE,GENERAL,PUBLIC_SECTOR,0.1256,Y,,,1.0,N,USD,L,7.83,4.51,35131976.14,0.0462,NOT_RATED
EXP000042,CP00080,N,4.3,4.1,CH,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4214,N,,,1.25,N,CHF,L,3.95,1.78,44247306.91,0.0302,NOT_RATED
EXP000043,CP00027,N,3.2,7.1,IT,LGD_RETAIL,PD_CORP,RETAIL,RESIDENTIAL_REAL_ESTATE,REAL_ESTATE,0.3643,N,BBB+,BBB+,1.0,N,EUR,L,1.38,0.25,414419.95,0.0240,INVESTMENT_GRADE
EXP000044,CP00259,N,1.1,1.1,SE,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4287,N,,AA,1.25,N,EUR,B,7.44,6.77,27281657.79,0.0171,INVESTMENT_GRADE
EXP000045,CP00121,N,7.2,7.2,ES,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.3867,N,C,C,1.0,N,CHF,B,3.20,2.59,15304063.73,0.1404,HIGH_YIELD
EXP000046,CP00025,N,4.1,4.1,ES,LGD_CORP,PD_CORP,CORP,COMMERCIAL_REAL_ESTATE,REAL_ESTATE,0.4242,N,,BBB-,1.0,N,USD,L,3.75,1.37,9909650.51,0.0391,HIGH_YIELD
EXP000047,CP00131,N,0.1,0.1,GB,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0521,Y,,AAA,1.0,N,GBP,L,6.43,3.89,30362841.51,0.0087,INVESTMENT_GRADE
EXP000048,CP00133,N,8.2,8.2,NL,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4632,N,,D,1.25,N,SEK,B,0.38,0.06,7901552.30,0.3852,HIGH_YIELD
EXP000049,CP00007,N,0.1,0.1,SE,LGD_CORP,PD_CORP,CORP,COMMERCIAL_REAL_ESTATE,REAL_ESTATE,0.3715,N,AAA,AAA,1.0,N,SEK,L,2.88,0.56,48661656.88,0.0218,INVESTMENT_GRADE
EXP000050,CP00129,N,7.1,7.1,US,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4381,N,CC,CC,1.25,N,EUR,L,3.69,2.77,14219920.26,0.1226,HIGH_YIELD
EXP000051,CP00202,N,3.1,3.2,PL,LGD_CORP,PD_CORP,CORP,CORPORATE,CORPORATES,0.3884,N,A-,A-,1.0,N,EUR,L,7.05,6.95,26225091.05,0.0337,INVESTMENT_GRADE
EXP000052,CP00246,N,3.2,3.2,ES,LGD_CORP,PD_CORP,CORP,CORPORATE,CORPORATES,0.4001,N,BBB+,BBB+,1.0,N,PLN,B,2.71,0.50,49099168.95,0.0105,INVESTMENT_GRADE
EXP000053,CP00121,N,6.1,6.1,PL,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.4278,N,,B-,1.0,N,PLN,B,9.93,3.04,44881212.25,0.1020,HIGH_YIELD
EXP000054,CP00007,N,4.3,4.3,FR,LGD_CORP,PD_CORP,CORP,PROJECT_FINANCE,INFRASTRUCTURE,0.4012,N,,BB,1.0,N,EUR,L,8.84,8.00,25691842.91,0.0515,HIGH_YIELD
EXP000055,CP00149,N,1.2,1.2,ES,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4256,N,,AA-,1.25,N,PLN,B,9.87,0.91,53433068.30,0.0119,INVESTMENT_GRADE
EXP000056,CP00079,N,5.1,5.1,CH,LGD_CORP,PD_CORP,CORP,CORPORATE,CORPORATES,0.3808,N,,BB-,1.0,N,EUR,L,5.25,2.78,46660019.87,0.0284,HIGH_YIELD
EXP000057,CP00174,N,6.1,6.1,US,LGD_CORP,PD_CORP,CORP,CORPORATE,CORPORATES,0.4097,N,,B-,1.0,N,EUR,L,3.24,1.70,12664680.13,0.0863,HIGH_YIELD
EXP000058,CP00004,Y,5.2,4.3,DE,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.3788,N,,B+,1.0,N,SEK,L,0.79,0.33,35294237.59,0.0533,HIGH_YIELD
EXP000059,CP00143,N,2.2,0.1,IT,LGD_CORP,PD_CORP,CORP,PROJECT_FINANCE,INFRASTRUCTURE,0.4045,N,,A,1.0,N,CHF,B,7.10,1.17,27765019.58,0.0330,INVESTMENT_GRADE
EXP000060,CP00012,N,5.1,5.1,PL,LGD_CORP,PD_CORP,CORP,COMMODITIES_FINANCE,COMMODITIES,0.3985,N,,,1.0,N,PLN,L,4.94,0.56,39868270.88,0.0603,NOT_RATED
EXP000061,CP00066,N,4.2,4.2,NL,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0220,Y,,BB+,1.0,N,SEK,L,1.33,1.04,88050304.17,0.0204,HIGH_YIELD
EXP000062,CP00173,N,0.1,0.1,PL,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4339,N,AAA,AAA,1.25,N,PLN,L,7.24,3.72,33460846.50,0.0134,INVESTMENT_GRADE
EXP000063,CP00196,N,3.3,3.3,ES,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4735,Y,,BBB,1.25,N,CHF,L,6.88,2.26,8530017.91,0.0390,INVESTMENT_GRADE
EXP000064,CP00208,N,6.1,6.1,DE,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.3746,N,,B-,1.0,N,EUR,B,2.81,2.55,15038797.62,0.0718,HIGH_YIELD
EXP000065,CP00180,N,0.1,0.1,DE,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4718,N,,AAA,1.25,N,GBP,B,1.72,1.09,17573583.63,0.0227,INVESTMENT_GRADE
EXP000066,CP00088,N,8.1,8.1,ES,LGD_CORP,PD_CORP,CORP,OBJECT_FINANCE,CORPORATES,0.4043,N,,D,1.0,N,GBP,L,1.55,1.43,46910903.33,0.2132,HIGH_YIELD
EXP000067,CP00192,N,3.2,3.2,ES,LGD_CORP,PD_CORP,CORP,OBJECT_FINANCE,CORPORATES,0.3874,N,BBB+,BBB+,1.0,N,USD,L,6.29,5.66,1260876.31,0.0373,INVESTMENT_GRADE
EXP000068,CP00021,Y,5.1,5.1,GB,LGD_CORP,PD_CORP,CORP,OBJECT_FINANCE,CORPORATES,0.4098,N,,BB-,1.0,N,EUR,B,5.95,1.46,32972640.78,0.0431,HIGH_YIELD
EXP000069,CP00253,N,3.2,3.2,US,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4612,N,,,1.25,N,USD,L,6.49,1.30,85944773.40,0.0253,NOT_RATED
EXP000070,CP00153,N,7.2,0.1,CH,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0205,Y,,C,1.0,N,PLN,L,5.81,4.03,32633645.16,0.1429,HIGH_YIELD
EXP000071,CP00257,N,1.1,1.1,US,LGD_CORP,PD_CORP,CORP,COMMERCIAL_REAL_ESTATE,REAL_ESTATE,0.3908,N,,AA,1.0,N,GBP,L,6.42,2.62,33874868.23,0.0343,INVESTMENT_GRADE
EXP000072,CP00221,N,0.1,0.1,NL,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4749,N,AAA,AAA,1.25,N,CHF,L,9.60,8.92,46025275.31,0.0342,INVESTMENT_GRADE
EXP000073,CP00025,N,1.1,1.1,NL,LGD_CORP,PD_CORP,CORP,OBJECT_FINANCE,CORPORATES,0.4010,N,,AA,1.0,N,EUR,B,5.80,5.38,27323085.02,0.0193,INVESTMENT_GRADE
EXP000074,CP00009,N,3.3,3.3,IT,LGD_CORP,PD_CORP,CORP,COMMODITIES_FINANCE,COMMODITIES,0.4284,N,BBB,BBB,1.0,N,PLN,L,8.14,7.21,15283702.74,0.0436,INVESTMENT_GRADE
EXP000075,CP00158,N,5.1,5.1,US,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4311,N,BB-,BB-,1.25,N,SEK,B,7.83,4.63,35928365.17,0.0531,HIGH_YIELD
EXP000076,CP00049,N,4.2,4.2,PL,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0574,Y,,,1.0,N,USD,B,6.59,4.24,91152134.46,0.0287,NOT_RATED
EXP000077,CP00130,N,1.1,1.1,NL,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4732,N,,AA,1.25,N,EUR,B,8.07,4.09,39051798.98,0.0348,INVESTMENT_GRADE
EXP000078,CP00180,N,5.3,1.2,FR,LGD_RETAIL,PD_CORP,RETAIL,RESIDENTIAL_REAL_ESTATE,REAL_ESTATE,0.3740,N,,,1.0,N,PLN,B,0.90,0.39,280473.76,0.0473,NOT_RATED
EXP000079,CP00046,N,3.2,5.3,CH,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4797,N,,BBB+,1.25,N,PLN,B,8.84,4.70,11296419.70,0.0273,INVESTMENT_GRADE
EXP000080,CP00034,N,6.1,6.1,PL,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0515,Y,B-,B-,1.0,N,CHF,B,0.28,0.05,61098160.33,0.0906,HIGH_YIELD
EXP000081,CP00183,N,3.1,3.1,SE,LGD_OTHER,PD_CORP,OTHER,OTHER,OTHER,0.4776,N,A-,A-,1.0,N,SEK,L,3.22,3.21,1359194.92,0.0395,INVESTMENT_GRADE
EXP000082,CP00099,N,7.2,1.1,ES,LGD_PSE,PD_SOV,PSE,GENERAL,PUBLIC_SECTOR,0.1182,Y,C,C,1.0,N,EUR,L,6.09,1.13,5490074.88,0.1656,HIGH_YIELD
EXP000083,CP00131,N,5.3,5.3,NL,LGD_CORP,PD_CORP,CORP,COMMODITIES_FINANCE,COMMODITIES,0.4220,N,B,B,1.0,N,CHF,L,7.52,1.76,10342226.57,0.0759,HIGH_YIELD
EXP000084,CP00087,Y,1.1,2.1,DE,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4609,N,AA,AA,1.25,N,GBP,L,8.09,5.39,60664440.38,0.0191,INVESTMENT_GRADE
EXP000085,CP00040,N,6.1,3.1,CH,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0748,Y,,B-,1.0,N,PLN,L,9.85,5.63,183482958.88,0.0958,HIGH_YIELD
EXP000086,CP00118,N,1.1,3.1,DE,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.3916,N,AA,AA,1.0,N,CHF,B,4.91,4.09,28815818.63,0.0250,INVESTMENT_GRADE
EXP000087,CP00087,Y,5.1,5.1,US,LGD_CORP,PD_CORP,CORP,COMMERCIAL_REAL_ESTATE,REAL_ESTATE,0.3846,N,,,1.0,N,CHF,L,5.45,1.01,44260595.70,0.0435,NOT_RATED
EXP000088,CP00190,N,2.2,3.3,CH,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.3913,N,A,A,1.0,N,GBP,L,3.21,2.70,36150945.52,0.0189,INVESTMENT_GRADE
EXP000089,CP00185,N,6.2,6.2,SE,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4688,N,,CCC,1.25,N,PLN,L,2.37,0.39,99165025.20,0.0907,HIGH_YIELD
EXP000090,CP00053,N,4.1,6.1,US,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4796,N,,BBB-,1.25,N,SEK,L,0.71,0.06,70629935.42,0.0427,HIGH_YIELD
EXP000091,CP00252,N,3.1,4.3,PL,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4724,N,,A-,1.25,N,CHF,B,9.52,2.72,78289512.44,0.0352,INVESTMENT_GRADE
EXP000092,CP00181,N,1.2,1.2,US,LGD_CORP,PD_CORP,CORP,PROJECT_FINANCE,INFRASTRUCTURE,0.4141,N,AA-,AA-,1.0,N,EUR,B,6.09,0.82,35700456.74,0.0079,INVESTMENT_GRADE
EXP000093,CP00028,N,2.2,2.2,GB,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4425,N,,,1.25,N,GBP,L,7.04,6.79,32199206.74,0.0114,NOT_RATED
EXP000094,CP00110,N,3.3,3.3,SE,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.3898,N,,BBB,1.0,N,USD,B,5.31,5.01,30882174.07,0.0201,INVESTMENT_GRADE
EXP000095,CP00062,N,1.2,5.2,PL,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0770,Y,,AA-,1.0,N,CHF,L,1.76,0.09,203995764.98,0.0130,INVESTMENT_GRADE
EXP000096,CP00032,N,4.2,4.2,FR,LGD_CORP,PD_CORP,CORP,PROJECT_FINANCE,INFRASTRUCTURE,0.4091,N,,,1.0,N,GBP,B,7.21,5.21,9222206.90,0.0500,NOT_RATED
EXP000097,CP00146,N,3.3,7.2,CH,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4356,N,,BBB,1.25,N,USD,B,1.36,0.71,40188990.35,0.0279,INVESTMENT_GRADE
EXP000098,CP00132,N,3.2,2.1,ES,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4784,N,,BBB+,1.25,N,EUR,L,9.49,0.88,11941009.51,0.0393,INVESTMENT_GRADE
EXP000099,CP00023,N,6.2,6.2,IT,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0434,Y,,,1.0,N,GBP,L,9.84,4.05,102974132.06,0.1231,NOT_RATED
EXP000100,CP00206,N,3.3,3.3,NL,LGD_CORP,PD_CORP,CORP,OBJECT_FINANCE,CORPORATES,0.3959,N,BBB,BBB,1.0,N,GBP,B,5.39,5.02,33253524.71,0.0198,INVESTMENT_GRADE
EXP000101,CP00093,N,0.1,0.1,NL,LGD_FI,PD_BANK,FI,FINANCIAL_INSTITUTION,FINANCIALS,0.4796,N,,AAA,1.25,N,USD,B,9.66,7.23,20152815.61,0.0160,INVESTMENT_GRADE
EXP000102,CP00201,N,1.1,1.1,ES,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0434,Y,,AA,1.0,N,PLN,L,4.45,4.05,222427638.14,0.0217,INVESTMENT_GRADE
EXP000103,CP00043,N,3.1,3.1,DE,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.4104,N,,A-,1.0,N,CHF,L,0.50,0.09,8624477.71,0.0204,INVESTMENT_GRADE
EXP000104,CP00231,N,1.2,1.2,FR,LGD_CORP,PD_CORP,CORP,OBJECT_FINANCE,CORPORATES,0.3963,N,AA-,AA-,1.0,N,PLN,L,0.53,0.37,23795991.66,0.0203,INVESTMENT_GRADE
EXP000105,CP00060,N,4.3,4.3,FR,LGD_CORP,PD_CORP,CORP,OBJECT_FINANCE,CORPORATES,0.3955,N,,,1.0,N,GBP,L,4.48,0.69,17448264.36,0.0321,NOT_RATED
EXP000106,CP00163,N,4.1,4.1,PL,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4497,N,,BBB-,1.25,N,EUR,L,3.22,0.89,52108416.52,0.0395,HIGH_YIELD
EXP000107,CP00084,N,3.3,3.3,DE,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4689,N,,,1.25,N,EUR,B,9.82,9.24,94238557.16,0.0253,NOT_RATED
EXP000108,CP00212,N,1.2,1.2,ES,LGD_CORP,PD_CORP,CORP,COMMODITIES_FINANCE,COMMODITIES,0.3895,N,,AA-,1.0,N,PLN,L,4.14,0.91,16681307.58,0.0114,INVESTMENT_GRADE
EXP000109,CP00142,N,8.1,0.1,US,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0627,Y,D,D,1.0,N,USD,B,8.87,7.34,172964283.48,0.2006,HIGH_YIELD
EXP000110,CP00130,N,4.1,4.1,US,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0295,Y,,BBB-,1.0,N,EUR,B,2.87,0.93,38732223.83,0.0186,HIGH_YIELD
EXP000111,CP00155,N,0.1,0.1,FR,LGD_CORP,PD_CORP,CORP,SPECIALISED_LENDING,CORPORATES,0.3867,N,,,1.0,N,USD,B,5.15,3.59,16082866.60,0.0392,NOT_RATED
EXP000112,CP00213,N,0.1,5.3,SE,LGD_BANK,PD_BANK,BANK,BANK,FINANCIALS,0.4310,N,AAA,AAA,1.25,N,PLN,B,4.47,4.04,13661757.11,0.0311,INVESTMENT_GRADE
EXP000113,CP00054,Y,1.1,3.3,SE,LGD_CORP,PD_CORP,CORP,COMMODITIES_FINANCE,COMMODITIES,0.3784,N,AA,AA,1.0,N,EUR,B,6.98,0.50,8449033.44,0.0259,INVESTMENT_GRADE
EXP000114,CP00248,N,1.1,1.1,FR,LGD_RETAIL,PD_CORP,RETAIL,RESIDENTIAL_REAL_ESTATE,REAL_ESTATE,0.3228,N,,AA,1.0,N,CHF,B,9.66,4.89,445298.52,0.0212,INVESTMENT_GRADE
EXP000115,CP00040,N,3.2,3.2,NL,LGD_RETAIL,PD_CORP,RETAIL,RETAIL,RETAIL,0.3409,N,BBB+,BBB+,1.0,N,SEK,B,2.72,2.61,1033548.71,0.0451,INVESTMENT_GRADE
EXP000116,CP00124,Y,1.1,1.1,ES,LGD_SOV,PD_SOV,SOV,SOVEREIGN,PUBLIC_SECTOR,0.0595,Y,,AA,1.0,N,SEK,L,5.75,4.27,23147589.12,0.0292,INVESTMENT_GRADE
