scenario_id,projection_year,entity_class,sub_class,exposure_ccy,growth_rate,amortization_rate,prepayment_rate,renewal_rate,new_origination_rate
BASE,2027,BANK,BANK,GBP,0.0068,0.0238,0.0118,0.9600,0.0041
BASE,2027,BANK,BANK,PLN,0.0068,0.0238,0.0230,0.9600,0.0041
BASE,2027,BANK,BANK,SEK,0.0068,0.0238,0.0192,0.9600,0.0041
BASE,2027,BANK,BANK,USD,0.0068,0.0238,0.0228,0.9600,0.0041
BASE,2027,CORP,COMMERCIAL_REAL_ESTATE,CHF,0.0356,0.0367,0.0214,0.9200,0.0213
BASE,2027,CORP,COMMERCIAL_REAL_ESTATE,EUR,0.0356,0.0367,0.0167,0.9200,0.0213
BASE,2027,CORP,COMMERCIAL_REAL_ESTATE,GBP,0.0356,0.0367,0.0118,0.9200,0.0213
BASE,2027,CORP,COMMERCIAL_REAL_ESTATE,PLN,0.0356,0.0367,0.0230,0.9200,0.0213
BASE,2027,CORP,COMMERCIAL_REAL_ESTATE,SEK,0.0356,0.0367,0.0192,0.9200,0.0213
BASE,2027,CORP,COMMERCIAL_REAL_ESTATE,USD,0.0356,0.0367,0.0228,0.9200,0.0213
BASE,2027,CORP,COMMODITIES_FINANCE,CHF,0.0234,0.0236,0.0214,0.9200,0.0140
BASE,2027,CORP,COMMODITIES_FINANCE,EUR,0.0234,0.0236,0.0167,0.9200,0.0140
BASE,2027,CORP,COMMODITIES_FINANCE,GBP,0.0234,0.0236,0.0118,0.9200,0.0140
BASE,2027,CORP,COMMODITIES_FINANCE,PLN,0.0234,0.0236,0.0230,0.9200,0.0140
BASE,2027,CORP,COMMODITIES_FINANCE,SEK,0.0234,0.0236,0.0192,0.9200,0.0140
BASE,2027,CORP,COMMODITIES_FINANCE,USD,0.0234,0.0236,0.0228,0.9200,0.0140
BASE,2027,CORP,CORPORATE,CHF,0.0376,0.0333,0.0214,0.9200,0.0226
BASE,2027,CORP,CORPORATE,EUR,0.0376,0.0333,0.0167,0.9200,0.0226
BASE,2027,CORP,CORPORATE,GBP,0.0376,0.0333,0.0118,0.9200,0.0226
BASE,2027,CORP,CORPORATE,PLN,0.0376,0.0333,0.0230,0.9200,0.0226
BASE,2027,CORP,CORPORATE,SEK,0.0376,0.0333,0.0192,0.9200,0.0226
BASE,2027,CORP,CORPORATE,USD,0.0376,0.0333,0.0228,0.9200,0.0226
BASE,2027,CORP,OBJECT_FINANCE,CHF,0.0284,0.0228,0.0214,0.9200,0.0170
BASE,2027,CORP,OBJECT_FINANCE,EUR,0.0284,0.0228,0.0167,0.9200,0.0170
BASE,2027,CORP,OBJECT_FINANCE,GBP,0.0284,0.0228,0.0118,0.9200,0.0170
BASE,2027,CORP,OBJECT_FINANCE,PLN,0.0284,0.0228,0.0230,0.9200,0.0170
BASE,2027,CORP,OBJECT_FINANCE,SEK,0.0284,0.0228,0.0192,0.9200,0.0170
BASE,2027,CORP,OBJECT_FINANCE,USD,0.0284,0.0228,0.0228,0.9200,0.0170
BASE,2027,CORP,PROJECT_FINANCE,CHF,0.0231,0.0353,0.0214,0.9200,0.0138
BASE,2027,CORP,PROJECT_FINANCE,EUR,0.0231,0.0353,0.0167,0.9200,0.0138
BASE,2027,CORP,PROJECT_FINANCE,GBP,0.0231,0.0353,0.0118,0.9200,0.0138
BASE,2027,CORP,PROJECT_FINANCE,PLN,0.0231,0.0353,0.0230,0.9200,0.0138
BASE,2027,CORP,PROJECT_FINANCE,SEK,0.0231,0.0353,0.0192,0.9200,0.0138
BASE,2027,CORP,PROJECT_FINANCE,USD,0.0231,0.0353,0.0228,0.9200,0.0138
BASE,2027,CORP,SPECIALISED_LENDING,CHF,0.0319,0.0207,0.0214,0.9200,0.0192
BASE,2027,CORP,SPECIALISED_LENDING,EUR,0.0319,0.0207,0.0167,0.9200,0.0192
BASE,2027,CORP,SPECIALISED_LENDING,GBP,0.0319,0.0207,0.0118,0.9200,0.0192
BASE,2027,CORP,SPECIALISED_LENDING,PLN,0.0319,0.0207,0.0230,0.9200,0.0192
BASE,2027,CORP,SPECIALISED_LENDING,SEK,0.0319,0.0207,0.0192,0.9200,0.0192
BASE,2027,CORP,SPECIALISED_LENDING,USD,0.0319,0.0207,0.0228,0.9200,0.0192
BASE,2027,FI,FINANCIAL_INSTITUTION,CHF,0.0168,0.0256,0.0214,0.9600,0.0101
BASE,2027,FI,FINANCIAL_INSTITUTION,EUR,0.0168,0.0256,0.0167,0.9600,0.0101
BASE,2027,FI,FINANCIAL_INSTITUTION,GBP,0.0168,0.0256,0.0118,0.9600,0.0101
BASE,2027,FI,FINANCIAL_INSTITUTION,PLN,0.0168,0.0256,0.0230,0.9600,0.0101
BASE,2027,FI,FINANCIAL_INSTITUTION,SEK,0.0168,0.0256,0.0192,0.9600,0.0101
BASE,2027,FI,FINANCIAL_INSTITUTION,USD,0.0168,0.0256,0.0228,0.9600,0.0101
BASE,2027,MDB,GENERAL,CHF,0.0057,0.0281,0.0214,0.9600,0.0034
BASE,2027,MDB,GENERAL,EUR,0.0057,0.0281,0.0167,0.9600,0.0034
BASE,2027,MDB,GENERAL,GBP,0.0057,0.0281,0.0118,0.9600,0.0034
BASE,2027,MDB,GENERAL,PLN,0.0057,0.0281,0.0230,0.9600,0.0034
BASE,2027,MDB,GENERAL,SEK,0.0057,0.0281,0.0192,0.9600,0.0034
BASE,2027,MDB,GENERAL,USD,0.0057,0.0281,0.0228,0.9600,0.0034
BASE,2027,OTHER,OTHER,CHF,0.0042,0.0428,0.0214,0.9600,0.0025
BASE,2027,OTHER,OTHER,EUR,0.0042,0.0428,0.0167,0.9600,0.0025
BASE,2027,OTHER,OTHER,GBP,0.0042,0.0428,0.0118,0.9600,0.0025
BASE,2027,OTHER,OTHER,SEK,0.0042,0.0428,0.0192,0.9600,0.0025
BASE,2027,OTHER,OTHER,USD,0.0042,0.0428,0.0228,0.9600,0.0025
BASE,2027,PSE,GENERAL,CHF,-0.0013,0.0281,0.0214,0.9600,0.0000
BASE,2027,PSE,GENERAL,EUR,-0.0013,0.0281,0.0167,0.9600,0.0000
BASE,2027,PSE,GENERAL,GBP,-0.0013,0.0281,0.0118,0.9600,0.0000
BASE,2027,PSE,GENERAL,PLN,-0.0013,0.0281,0.0230,0.9600,0.0000
BASE,2027,PSE,GENERAL,SEK,-0.0013,0.0281,0.0192,0.9600,0.0000
BASE,2027,PSE,GENERAL,USD,-0.0013,0.0281,0.0228,0.9600,0.0000
BASE,2027,RETAIL,RESIDENTIAL_REAL_ESTATE,CHF,0.0167,0.0357,0.0214,0.9200,0.0100
BASE,2027,RETAIL,RESIDENTIAL_REAL_ESTATE,EUR,0.0167,0.0357,0.0167,0.9200,0.0100
BASE,2027,RETAIL,RESIDENTIAL_REAL_ESTATE,GBP,0.0167,0.0357,0.0118,0.9200,0.0100
BASE,2027,RETAIL,RESIDENTIAL_REAL_ESTATE,PLN,0.0167,0.0357,0.0230,0.9200,0.0100
BASE,2027,RETAIL,RESIDENTIAL_REAL_ESTATE,SEK,0.0167,0.0357,0.0192,0.9200,0.0100
BASE,2027,RETAIL,RESIDENTIAL_REAL_ESTATE,USD,0.0167,0.0357,0.0228,0.9200,0.0100
BASE,2027,RETAIL,RETAIL,CHF,0.0226,0.0239,0.0214,0.9200,0.0135
BASE,2027,RETAIL,RETAIL,EUR,0.0226,0.0239,0.0167,0.9200,0.0135
BASE,2027,RETAIL,RETAIL,GBP,0.0226,0.0239,0.0118,0.9200,0.0135
BASE,2027,RETAIL,RETAIL,PLN,0.0226,0.0239,0.0230,0.9200,0.0135
BASE,2027,RETAIL,RETAIL,SEK,0.0226,0.0239,0.0192,0.9200,0.0135
BASE,2027,RETAIL,RETAIL,USD,0.0226,0.0239,0.0228,0.9200,0.0135
BASE,2027,SOV,SOVEREIGN,CHF,-0.0031,0.0446,0.0214,0.9600,0.0000
BASE,2027,SOV,SOVEREIGN,EUR,-0.0031,0.0446,0.0167,0.9600,0.0000
BASE,2027,SOV,SOVEREIGN,GBP,-0.0031,0.0446,0.0118,0.9600,0.0000
BASE,2027,SOV,SOVEREIGN,PLN,-0.0031,0.0446,0.0230,0.9600,0.0000
BASE,2027,SOV,SOVEREIGN,SEK,-0.0031,0.0446,0.0192,0.9600,0.0000
BASE,2027,SOV,SOVEREIGN,USD,-0.0031,0.0446,0.0228,0.9600,0.0000
BASE,2028,BANK,BANK,CHF,0.0125,0.0391,0.0114,0.9600,0.0075
BASE,2028,BANK,BANK,EUR,0.0125,0.0391,0.0091,0.9600,0.0075
BASE,2028,BANK,BANK,GBP,0.0125,0.0391,0.0131,0.9600,0.0075
BASE,2028,BANK,BANK,PLN,0.0125,0.0391,0.0102,0.9600,0.0075
BASE,2028,BANK,BANK,SEK,0.0125,0.0391,0.0078,0.9600,0.0075
BASE,2028,BANK,BANK,USD,0.0125,0.0391,0.0156,0.9600,0.0075
BASE,2028,CORP,COMMERCIAL_REAL_ESTATE,CHF,0.0247,0.0231,0.0114,0.9200,0.0148
BASE,2028,CORP,COMMERCIAL_REAL_ESTATE,EUR,0.0247,0.0231,0.0091,0.9200,0.0148
BASE,2028,CORP,COMMERCIAL_REAL_ESTATE,GBP,0.0247,0.0231,0.0131,0.9200,0.0148
BASE,2028,CORP,COMMERCIAL_REAL_ESTATE,PLN,0.0247,0.0231,0.0102,0.9200,0.0148
BASE,2028,CORP,COMMERCIAL_REAL_ESTATE,SEK,0.0247,0.0231,0.0078,0.9200,0.0148
BASE,2028,CORP,COMMERCIAL_REAL_ESTATE,USD,0.0247,0.0231,0.0156,0.9200,0.0148
BASE,2028,CORP,COMMODITIES_FINANCE,CHF,0.0380,0.0164,0.0114,0.9200,0.0228
BASE,2028,CORP,COMMODITIES_FINANCE,EUR,0.0380,0.0164,0.0091,0.9200,0.0228
BASE,2028,CORP,COMMODITIES_FINANCE,GBP,0.0380,0.0164,0.0131,0.9200,0.0228
BASE,2028,CORP,COMMODITIES_FINANCE,PLN,0.0380,0.0164,0.0102,0.9200,0.0228
BASE,2028,CORP,COMMODITIES_FINANCE,SEK,0.0380,0.0164,0.0078,0.9200,0.0228
BASE,2028,CORP,COMMODITIES_FINANCE,USD,0.0380,0.0164,0.0156,0.9200,0.0228
BASE,2028,CORP,CORPORATE,CHF,0.0345,0.0408,0.0114,0.9200,0.0207
BASE,2028,CORP,CORPORATE,EUR,0.0345,0.0408,0.0091,0.9200,0.0207
BASE,2028,CORP,CORPORATE,GBP,0.0345,0.0408,0.0131,0.9200,0.0207
BASE,2028,CORP,CORPORATE,PLN,0.0345,0.0408,0.0102,0.9200,0.0207
BASE,2028,CORP,CORPORATE,SEK,0.0345,0.0408,0.0078,0.9200,0.0207
BASE,2028,CORP,CORPORATE,USD,0.0345,0.0408,0.0156,0.9200,0.0207
BASE,2028,CORP,OBJECT_FINANCE,CHF,0.0279,0.0429,0.0114,0.9200,0.0167
BASE,2028,CORP,OBJECT_FINANCE,EUR,0.0279,0.0429,0.0091,0.9200,0.0167
BASE,2028,CORP,OBJECT_FINANCE,GBP,0.0279,0.0429,0.0131,0.9200,0.0167
BASE,2028,CORP,OBJECT_FINANCE,PLN,0.0279,0.0429,0.0102,0.9200,0.0167
BASE,2028,CORP,OBJECT_FINANCE,SEK,0.0279,0.0429,0.0078,0.9200,0.0167
BASE,2028,CORP,OBJECT_FINANCE,USD,0.0279,0.0429,0.0156,0.9200,0.0167
BASE,2028,CORP,PROJECT_FINANCE,CHF,0.0287,0.0291,0.0114,0.9200,0.0172
BASE,2028,CORP,PROJECT_FINANCE,EUR,0.0287,0.0291,0.0091,0.9200,0.0172
BASE,2028,CORP,PROJECT_FINANCE,GBP,0.0287,0.0291,0.0131,0.9200,0.0172
BASE,2028,CORP,PROJECT_FINANCE,PLN,0.0287,0.0291,0.0102,0.9200,0.0172
BASE,2028,CORP,PROJECT_FINANCE,SEK,0.0287,0.0291,0.0078,0.9200,0.0172
BASE,2028,CORP,PROJECT_FINANCE,USD,0.0287,0.0291,0.0156,0.9200,0.0172
BASE,2028,CORP,SPECIALISED_LENDING,CHF,0.0330,0.0285,0.0114,0.9200,0.0198
BASE,2028,CORP,SPECIALISED_LENDING,EUR,0.0330,0.0285,0.0091,0.9200,0.0198
BASE,2028,CORP,SPECIALISED_LENDING,GBP,0.0330,0.0285,0.0131,0.9200,0.0198
BASE,2028,CORP,SPECIALISED_LENDING,PLN,0.0330,0.0285,0.0102,0.9200,0.0198
BASE,2028,CORP,SPECIALISED_LENDING,SEK,0.0330,0.0285,0.0078,0.9200,0.0198
BASE,2028,CORP,SPECIALISED_LENDING,USD,0.0330,0.0285,0.0156,0.9200,0.0198
BASE,2028,FI,FINANCIAL_INSTITUTION,CHF,0.0164,0.0288,0.0114,0.9600,0.0099
BASE,2028,FI,FINANCIAL_INSTITUTION,EUR,0.0164,0.0288,0.0091,0.9600,0.0099
BASE,2028,FI,FINANCIAL_INSTITUTION,GBP,0.0164,0.0288,0.0131,0.9600,0.0099
BASE,2028,FI,FINANCIAL_INSTITUTION,PLN,0.0164,0.0288,0.0102,0.9600,0.0099
BASE,2028,FI,FINANCIAL_INSTITUTION,SEK,0.0164,0.0288,0.0078,0.9600,0.0099
BASE,2028,FI,FINANCIAL_INSTITUTION,USD,0.0164,0.0288,0.0156,0.9600,0.0099
BASE,2028,MDB,GENERAL,CHF,0.0024,0.0429,0.0114,0.9600,0.0014
BASE,2028,MDB,GENERAL,EUR,0.0024,0.0429,0.0091,0.9600,0.0014
BASE,2028,MDB,GENERAL,GBP,0.0024,0.0429,0.0131,0.9600,0.0014
BASE,2028,MDB,GENERAL,PLN,0.0024,0.0429,0.0102,0.9600,0.0014
BASE,2028,MDB,GENERAL,SEK,0.0024,0.0429,0.0078,0.9600,0.0014
BASE,2028,MDB,GENERAL,USD,0.0024,0.0429,0.0156,0.9600,0.0014
BASE,2028,OTHER,OTHER,CHF,0.0065,0.0372,0.0114,0.9600,0.0039
BASE,2028,OTHER,OTHER,EUR,0.0065,0.0372,0.0091,0.9600,0.0039
BASE,2028,OTHER,OTHER,GBP,0.0065,0.0372,0.0131,0.9600,0.0039
BASE,2028,OTHER,OTHER,SEK,0.0065,0.0372,0.0078,0.9600,0.0039
BASE,2028,OTHER,OTHER,USD,0.0065,0.0372,0.0156,0.9600,0.0039
BASE,2028,PSE,GENERAL,CHF,0.0082,0.0429,0.0114,0.9600,0.0049
BASE,2028,PSE,GENERAL,EUR,0.0082,0.0429,0.0091,0.9600,0.0049
BASE,2028,PSE,GENERAL,GBP,0.0082,0.0429,0.0131,0.9600,0.0049
BASE,2028,PSE,GENERAL,PLN,0.0082,0.0429,0.0102,0.9600,0.0049
BASE,2028,PSE,GENERAL,SEK,0.0082,0.0429,0.0078,0.9600,0.0049
BASE,2028,PSE,GENERAL,USD,0.0082,0.0429,0.0156,0.9600,0.0049
BASE,2028,RETAIL,RESIDENTIAL_REAL_ESTATE,CHF,0.0210,0.0214,0.0114,0.9200,0.0126
BASE,2028,RETAIL,RESIDENTIAL_REAL_ESTATE,EUR,0.0210,0.0214,0.0091,0.9200,0.0126
BASE,2028,RETAIL,RESIDENTIAL_REAL_ESTATE,GBP,0.0210,0.0214,0.0131,0.9200,0.0126
BASE,2028,RETAIL,RESIDENTIAL_REAL_ESTATE,PLN,0.0210,0.0214,0.0102,0.9200,0.0126
BASE,2028,RETAIL,RESIDENTIAL_REAL_ESTATE,SEK,0.0210,0.0214,0.0078,0.9200,0.0126
BASE,2028,RETAIL,RESIDENTIAL_REAL_ESTATE,USD,0.0210,0.0214,0.0156,0.9200,0.0126
BASE,2028,RETAIL,RETAIL,CHF,0.0167,0.0186,0.0114,0.9200,0.0100
BASE,2028,RETAIL,RETAIL,EUR,0.0167,0.0186,0.0091,0.9200,0.0100
BASE,2028,RETAIL,RETAIL,GBP,0.0167,0.0186,0.0131,0.9200,0.0100
BASE,2028,RETAIL,RETAIL,PLN,0.0167,0.0186,0.0102,0.9200,0.0100
BASE,2028,RETAIL,RETAIL,SEK,0.0167,0.0186,0.0078,0.9200,0.0100
BASE,2028,RETAIL,RETAIL,USD,0.0167,0.0186,0.0156,0.9200,0.0100
BASE,2028,SOV,SOVEREIGN,CHF,0.0002,0.0217,0.0114,0.9600,0.0001
BASE,2028,SOV,SOVEREIGN,EUR,0.0002,0.0217,0.0091,0.9600,0.0001
BASE,2028,SOV,SOVEREIGN,GBP,0.0002,0.0217,0.0131,0.9600,0.0001
BASE,2028,SOV,SOVEREIGN,PLN,0.0002,0.0217,0.0102,0.9600,0.0001
BASE,2028,SOV,SOVEREIGN,SEK,0.0002,0.0217,0.0078,0.9600,0.0001
BASE,2028,SOV,SOVEREIGN,USD,0.0002,0.0217,0.0156,0.9600,0.0001
BASE,2029,BANK,BANK,CHF,0.0033,0.0428,0.0078,0.9600,0.0020
BASE,2029,BANK,BANK,EUR,0.0033,0.0428,0.0204,0.9600,0.0020
BASE,2029,BANK,BANK,GBP,0.0033,0.0428,0.0132,0.9600,0.0020
BASE,2029,BANK,BANK,PLN,0.0033,0.0428,0.0078,0.9600,0.0020
BASE,2029,BANK,BANK,SEK,0.0033,0.0428,0.0217,0.9600,0.0020
BASE,2029,BANK,BANK,USD,0.0033,0.0428,0.0159,0.9600,0.0020
BASE,2029,CORP,COMMERCIAL_REAL_ESTATE,CHF,0.0348,0.0373,0.0078,0.9200,0.0209
BASE,2029,CORP,COMMERCIAL_REAL_ESTATE,EUR,0.0348,0.0373,0.0204,0.9200,0.0209
BASE,2029,CORP,COMMERCIAL_REAL_ESTATE,GBP,0.0348,0.0373,0.0132,0.9200,0.0209
BASE,2029,CORP,COMMERCIAL_REAL_ESTATE,PLN,0.0348,0.0373,0.0078,0.9200,0.0209
BASE,2029,CORP,COMMERCIAL_REAL_ESTATE,SEK,0.0348,0.0373,0.0217,0.9200,0.0209
BASE,2029,CORP,COMMERCIAL_REAL_ESTATE,USD,0.0348,0.0373,0.0159,0.9200,0.0209
BASE,2029,CORP,COMMODITIES_FINANCE,CHF,0.0257,0.0256,0.0078,0.9200,0.0154
BASE,2029,CORP,COMMODITIES_FINANCE,EUR,0.0257,0.0256,0.0204,0.9200,0.0154
BASE,2029,CORP,COMMODITIES_FINANCE,GBP,0.0257,0.0256,0.0132,0.9200,0.0154
BASE,2029,CORP,COMMODITIES_FINANCE,PLN,0.0257,0.0256,0.0078,0.9200,0.0154
BASE,2029,CORP,COMMODITIES_FINANCE,SEK,0.0257,0.0256,0.0217,0.9200,0.0154
BASE,2029,CORP,COMMODITIES_FINANCE,USD,0.0257,0.0256,0.0159,0.9200,0.0154
BASE,2029,CORP,CORPORATE,CHF,0.0367,0.0183,0.0078,0.9200,0.0220
BASE,2029,CORP,CORPORATE,EUR,0.0367,0.0183,0.0204,0.9200,0.0220
BASE,2029,CORP,CORPORATE,GBP,0.0367,0.0183,0.0132,0.9200,0.0220
BASE,2029,CORP,CORPORATE,PLN,0.0367,0.0183,0.0078,0.9200,0.0220
BASE,2029,CORP,CORPORATE,SEK,0.0367,0.0183,0.0217,0.9200,0.0220
